Serial,Order,EndOfPourTimeStamp,Line,Blend,SmartPartNumber
3663865,H000062532-6,7/30/2024 0:41,1,29,I21UW-61SS-1V-0800NS-NNNNN-NXN
13958257,H000649253-1,2/7/2024 21:27,1,29,Q24UK-61NV-7V-0800NL-01L11-N5N
13958258,H000649253-1,2/7/2024 21:27,1,29,Q24UK-61NV-7V-0800NL-01L11-N5N
22696456,H001108702-1,1/18/2024 14:52,2,29,B24LK-61NN-7V-1400NL-01CAR-NBL
22696457,H001108702-1,1/18/2024 23:42,2,29,I21LK-61NN-7V-1400NL-01CAR-NBN
22730130,H001108702-1,1/19/2024 3:04,2,29,I21LK-61NN-7V-1400NL-01CAR-NBN
22704793,H001108709-1,1/19/2024 8:22,2,29,T21LS-71NV-7V-0902NS-NNNNN-NXN
22704794,H001108709-2,1/22/2024 5:00,2,29,B24LS-71NV-7V-0602NS-NNNNN-NXN
22704795,H001108709-2,1/22/2024 5:03,2,29,B24LS-71NV-7V-0602NS-NNNNN-NXN
22704796,H001108709-2,1/22/2024 5:04,2,29,B24LS-71NV-7V-0602NS-NNNNN-NXN
22704797,H001108709-2,1/22/2024 5:08,2,29,B24LS-71NV-7V-0602NS-NNNNN-NXN
22704810,H001108709-3,1/22/2024 4:56,2,29,B24LS-71NV-7V-0602NS-NNNNN-NXN
22704811,H001108709-3,1/22/2024 4:57,2,29,B24LS-71NV-7V-0602NS-NNNNN-NXN
22704812,H001108709-3,1/22/2024 4:57,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704813,H001108709-3,1/22/2024 4:57,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22779047,H001108714-2,2/4/2024 23:19,2,29,T24LW-61SS-7V-0800NS-NNNNN-NXN
22779064,H001108714-6,2/5/2024 4:09,1,29,I21LW-61GN-7V-1600NS-NNNNN-NXN
22779065,H001108714-6,2/1/2024 14:20,2,29,T21LW-61NN-7V-1600NL-04CAR-NUA
22779066,H001108714-7,2/5/2024 8:18,2,29,B24LD-61SS-7V-0902NS-NNNNN-NXL
22779067,H001108714-7,2/5/2024 8:21,2,29,B24LD-61SS-7V-0902NS-NNNNN-NXL
22779080,H001108714-7,2/5/2024 8:25,2,29,T24LD-61SS-7V-0902NS-NNNNN-NXN
22736781,H001108718-1,1/24/2024 22:57,1,33,I24HN-T1NN-7V-1600NJ-NNNNN-NXN
22736782,H001108718-1,1/24/2024 22:56,1,33,I24HN-T1NN-7V-1600NJ-NNNNN-NXN
22736783,H001108718-1,1/24/2024 22:57,1,33,T24HN-T1NN-7V-1600NJ-04CAR-N4A
22678273,H001108719-1,1/16/2024 3:19,2,29,B24LB-61SS-7V-1000NS-NNNNN-NXL
22678274,H001108719-1,1/16/2024 3:23,2,29,B24LB-61SS-7V-1000NS-NNNNN-NXL
22678287,H001108719-1,1/16/2024 3:28,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678288,H001108719-1,1/16/2024 3:31,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678289,H001108719-1,1/16/2024 3:22,2,29,T24LB-61SS-7V-1000NA-NNNNN-NXT
22678290,H001108719-1,1/16/2024 3:25,2,29,T24LB-61SS-7V-1000NA-NNNNN-NXT
22678291,H001108719-1,1/16/2024 3:28,2,29,T24LB-61SS-7V-1000NA-NNNNN-NXT
22704094,H001108723-1,1/21/2024 21:49,2,29,B24LW-71NV-7V-1402SS-NNNNN-NXL
22768702,H001108727-1,1/31/2024 20:36,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22768703,H001108727-1,1/31/2024 20:33,2,29,T24LS-61SS-7V-1202NS-NNNNN-NXN
22768704,H001108727-1,1/31/2024 20:37,2,29,T24LS-61SS-7V-1202NS-NNNNN-NXN
22719283,H001108729-1,1/23/2024 15:10,2,29,T24LW-61NN-7V-1600NL-04CAR-C5A
22743449,H001108731-1,1/26/2024 10:45,1,29,I24LS-71CN-7V-0710NS-NNNNN-NXN
22743450,H001108731-1,1/26/2024 0:10,2,29,T24LS-71NN-7V-0710NL-02CAR-G4N
22743334,H001108731-2,1/26/2024 10:38,1,29,B24LS-71CN-7V-0710NS-NNNNN-NXN
22743335,H001108731-2,1/26/2024 10:37,1,29,I24LS-71CN-7V-0710NS-NNNNN-NXN
22743336,H001108731-2,1/26/2024 10:37,1,29,I24LS-71CN-7V-0710NS-NNNNN-NXN
22778948,H001108732-1,2/4/2024 20:18,1,33,B24HW-T1NV-7V-1000SS-NNNNN-NXL
22778949,H001108732-2,2/4/2024 20:18,1,33,I24HW-T1NV-7V-1000SS-NNNNN-NXN
22711629,H001108734-1,1/22/2024 21:35,1,29,I18LW-61GN-7V-1000SS-NNNNN-NXN
22711630,H001108734-1,1/22/2024 21:36,1,29,I18LW-61GN-7V-1000SS-NNNNN-NXN
22711631,H001108734-1,1/22/2024 21:36,1,29,I18LW-61GN-7V-1000SS-NNNNN-NXN
22711632,H001108734-1,1/22/2024 15:24,1,29,T21LW-61GN-7V-1000SS-NNNNN-NXN
22744118,H001108738-1,1/26/2024 11:28,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22744119,H001108738-1,1/26/2024 12:15,2,29,I24LW-61NN-7V-1202NL-03CAR-C5N
22744120,H001108738-1,1/26/2024 12:16,2,29,I24LW-61NN-7V-1202NL-03CAR-C5N
22744121,H001108738-1,1/26/2024 11:42,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22743065,H001108739-1,1/28/2024 19:03,2,29,T24LW-61NN-7V-1800NL-04CAR-H5A
22704544,H001108740-1,1/19/2024 9:08,2,29,B21LT-61RS-7V-1600NS-NNNNN-NXL
3140656,H000039697-1,4/24/2024 8:15,1,29,T21UW-61RS-1V-1400NS-03C00-P4N
13652945,H000631040-1,2/8/2024 0:30,1,29,I24UT-61NN-7V-0800NT-NNNNN-NXN
13652946,H000631040-1,2/7/2024 21:29,1,29,T24UT-61NN-7V-0800NT-02C00-N4N
22696465,H001108701-1,1/18/2024 4:24,1,29,B24LD-61NV-7V-1000NS-NNNNN-NXL
22704802,H001108709-2,1/22/2024 5:00,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704803,H001108709-2,1/22/2024 5:04,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704804,H001108709-2,1/22/2024 5:08,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704805,H001108709-2,1/22/2024 5:09,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22689660,H001108711-1,1/17/2024 12:56,1,29,B24LW-61HN-7V-1600NS-NNNNN-NXN
22689661,H001108711-1,1/17/2024 12:56,1,29,I24LW-61HN-7V-1600NS-NNNNN-NXN
22689662,H001108711-1,1/17/2024 12:58,1,29,I24LW-61HN-7V-1600NS-NNNNN-NXN
22689663,H001108711-1,1/17/2024 12:58,1,29,T24LW-61HN-7V-1600NS-NNNNN-NXN
22779039,H001108714-1,2/5/2024 9:17,2,29,B24LG-61NN-7V-1800NK-01CAR-N5L
22779040,H001108714-1,2/5/2024 0:45,1,29,I21LG-61NN-7V-1800NK-01CAR-N5N
22779041,H001108714-1,2/5/2024 0:46,1,29,I21LG-61NN-7V-1800NK-01CAR-N5N
22779042,H001108714-1,2/5/2024 0:47,1,29,I21LG-61NN-7V-1800NK-01CAR-N5N
22779055,H001108714-4,2/5/2024 11:08,1,29,I18LW-61GN-7V-1600NS-NNNNN-NXN
22779056,H001108714-4,2/1/2024 14:21,2,29,T21LW-61NN-7V-1600NL-04CAR-D5A
22779057,H001108714-5,2/5/2024 6:24,1,29,B21LW-61GN-7V-0900NS-NNNNN-NXL
