,Order Number,SmartPartNumber,EndOfPourTimeStamp,Line,Blend,Type,Height,Construction,Color,Thickness,Outside Skin,Outside Treatment,Outside Grooving,Inside Skin,Inside Grooving,Length,End Stiles,Backer Stile Placement,weekday,year,month,hour,time
0,H000666755-1,B24UB-81NV-7V-1402DD-NNNNN-NXL,2019-10-21 22:45:00,1,7,B,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,22,22:45:00
1,H000666755-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-21 23:00:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,23,23:00:00
2,H000666755-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-21 23:00:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,23,23:00:00
3,H000666755-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-21 23:00:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,23,23:00:00
4,H000666755-1,I24UB-81NV-7V-1402DD-04C00-NFN,2019-10-21 22:45:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,22,22:45:00
5,H000666755-1,T24UB-81NV-7V-1402DD-NNNNN-NXT,2019-10-21 22:45:00,1,7,T,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,22,22:45:00
6,H000666788-1,B24UB-81NV-7V-2002DD-NNNNN-NXL,2019-10-28 17:15:00,1,7,B,24,U,B,8,1,N,V,7,V,2002,D,D,0,2019,10,17,17:15:00
7,H000666788-1,I24UB-81NV-7V-2002DD-NNNNN-NXN,2019-10-28 17:15:00,1,7,I,24,U,B,8,1,N,V,7,V,2002,D,D,0,2019,10,17,17:15:00
8,H000666788-1,I24UB-81NV-7V-2002DD-NNNNN-NXN,2019-10-28 17:15:00,1,7,I,24,U,B,8,1,N,V,7,V,2002,D,D,0,2019,10,17,17:15:00
9,H000666788-1,I24UB-81NV-7V-2002DD-NNNNN-NXN,2019-10-28 17:15:00,1,7,I,24,U,B,8,1,N,V,7,V,2002,D,D,0,2019,10,17,17:15:00
10,H000666788-1,I24UB-81NV-7V-2002DD-NNNNN-NXN,2019-10-28 17:00:00,1,7,I,24,U,B,8,1,N,V,7,V,2002,D,D,0,2019,10,17,17:00:00
11,H000666788-1,I21UB-81NV-7V-2002DD-NNNNN-NXN,2019-10-29 08:15:00,1,7,I,21,U,B,8,1,N,V,7,V,2002,D,D,1,2019,10,8,08:15:00
12,H000666788-1,T24UB-81NV-7V-2002DD-NNNNN-NXT,2019-10-28 17:00:00,1,7,T,24,U,B,8,1,N,V,7,V,2002,D,D,0,2019,10,17,17:00:00
